Year	Month	Land Δ(T) (C)	Ocean Δ(T) (C)	Ocean-Land Δ(T) (C)
1925	12	0.101979	-0.342369	-0.216757
1926	1	0.140976	-0.312511	-0.188531
1926	2	-0.086849	-0.391409	-0.306259
1926	3	-0.118933	-0.367775	-0.298499
1926	4	-0.788035	-0.335082	-0.465139
1926	5	-0.694909	-0.349358	-0.446852
1926	6	-0.485619	-0.399398	-0.423677
1926	7	-0.542827	-0.463773	-0.485962
1926	8	-0.354709	-0.416721	-0.398702
1926	9	-0.314203	-0.418188	-0.38918
1926	10	-0.139526	-0.418808	-0.340436
1926	11	-0.162628	-0.41701	-0.345841
1926	12	-0.858175	-0.421132	-0.543329
1927	1	-0.915484	-0.406889	-0.552801
1927	2	-0.774957	-0.443555	-0.53481
1927	3	-1.083634	-0.495881	-0.655519
1927	4	-0.893173	-0.471069	-0.589794
1927	5	-0.682379	-0.493578	-0.545647
1927	6	-0.493022	-0.515824	-0.509479
1927	7	-0.321685	-0.474334	-0.43173
1927	8	-0.514213	-0.429327	-0.45333
1927	9	-0.108646	-0.456087	-0.359345
1927	10	0.144311	-0.418687	-0.261256
1927	11	-0.164635	-0.384751	-0.32387
1927	12	-1.05653	-0.437108	-0.612303
1928	1	-0.336864	-0.419626	-0.396282
1928	2	-0.65168	-0.445811	-0.504744
1928	3	-0.972039	-0.468715	-0.611998
1928	4	-0.775875	-0.495732	-0.573896
1928	5	-0.556648	-0.524592	-0.533556
1928	6	-0.673563	-0.551935	-0.586128
1928	7	-0.390609	-0.481481	-0.456124
1928	8	-0.476209	-0.504361	-0.496485
1928	9	-0.335224	-0.500449	-0.453335
1928	10	-0.241527	-0.499506	-0.426861
1928	11	-0.054722	-0.5019	-0.373942
1928	12	-0.425624	-0.542135	-0.508981
1929	1	-1.356437	-0.589343	-0.807722
1929	2	-1.690331	-0.597398	-0.910186
1929	3	-0.765059	-0.621902	-0.662462
1929	4	-0.833834	-0.593284	-0.662013
1929	5	-0.72649	-0.611148	-0.643228
1929	6	-0.851416	-0.599992	-0.670308
1929	7	-0.731387	-0.590003	-0.62994
1929	8	-0.527932	-0.549557	-0.543355
1929	9	-0.515808	-0.507491	-0.509866
1929	10	-0.198177	-0.497045	-0.411806
1929	11	-0.179912	-0.470733	-0.38877
1929	12	-1.746066	-0.511812	-0.86372
1930	1	-1.025773	-0.514106	-0.661674
1930	2	-0.733852	-0.517219	-0.57959
1930	3	-0.341496	-0.485693	-0.444061
1930	4	-0.781782	-0.451897	-0.545434
1930	5	-0.660719	-0.454922	-0.512674
1930	6	-0.464086	-0.450237	-0.454176
1930	7	-0.250893	-0.458001	-0.397477
1930	8	-0.293561	-0.429807	-0.390319
1930	9	-0.538078	-0.323947	-0.386143
1930	10	-0.370106	-0.264632	-0.293977
1930	11	0.097813	-0.217045	-0.126156
1930	12	-0.439247	-0.288384	-0.332272
1931	1	-0.483408	-0.300268	-0.351989
1931	2	-1.131773	-0.335498	-0.563229
1931	3	-0.544473	-0.309203	-0.376084
1931	4	-0.722917	-0.373088	-0.471496
1931	5	-0.729038	-0.371876	-0.472779
1931	6	-0.295641	-0.363285	-0.344148
1931	7	-0.103444	-0.40888	-0.319577
1931	8	-0.113913	-0.366542	-0.292476
1931	9	-0.06237	-0.372599	-0.284459
1931	10	0.172984	-0.408621	-0.239056
1931	11	-0.267632	-0.460087	-0.404999
1931	12	-0.336235	-0.453692	-0.421075
1932	1	0.410509	-0.398252	-0.170252
1932	2	-0.867042	-0.381587	-0.518627
1932	3	-0.983327	-0.379826	-0.549823
1932	4	-0.180643	-0.442948	-0.369035
1932	5	-0.594254	-0.449642	-0.489922
1932	6	-0.499403	-0.515501	-0.510909
1932	7	-0.289503	-0.527713	-0.459496
1932	8	-0.433114	-0.513956	-0.490477
1932	9	-0.089058	-0.477425	-0.366467
1932	10	-0.022397	-0.501986	-0.365849
1932	11	-0.499449	-0.489569	-0.492414
1932	12	-0.745969	-0.488597	-0.560227
1933	1	-1.005329	-0.451375	-0.605622
1933	2	-1.231813	-0.443543	-0.666464
1933	3	-0.990454	-0.502047	-0.636696
1933	4	-0.801492	-0.449209	-0.550714
1933	5	-0.662518	-0.528293	-0.566543
1933	6	-0.642196	-0.554301	-0.580523
1933	7	-0.422701	-0.534588	-0.502563
1933	8	-0.440046	-0.538968	-0.510788
1933	9	-0.548283	-0.541415	-0.543437
1933	10	-0.344062	-0.517844	-0.467952
1933	11	-0.369089	-0.582302	-0.522211
1933	12	-1.138837	-0.582082	-0.737323
1934	1	-0.79308	-0.545346	-0.614657
1934	2	-0.061786	-0.567139	-0.421451
1934	3	-0.995287	-0.552372	-0.677833
1934	4	-0.901091	-0.485396	-0.604448
1934	5	-0.171877	-0.474372	-0.388017
1934	6	-0.366972	-0.347954	-0.353639
1934	7	-0.314341	-0.398938	-0.374472
1934	8	-0.34005	-0.351065	-0.347807
1934	9	-0.615212	-0.323867	-0.409024
1934	10	-0.198156	-0.351967	-0.307113
1934	11	0.020025	-0.352928	-0.246194
1934	12	-0.335593	-0.364666	-0.3563
1935	1	-0.987568	-0.444393	-0.601033
1935	2	0.424085	-0.420727	-0.178029
1935	3	-0.487291	-0.52298	-0.51311
1935	4	-1.096915	-0.436584	-0.628357
1935	5	-0.72968	-0.470581	-0.545683
1935	6	-0.539877	-0.505184	-0.515159
1935	7	-0.327515	-0.513339	-0.458482
1935	8	-0.391964	-0.477942	-0.453577
1935	9	-0.329203	-0.46254	-0.424674
1935	10	-0.122259	-0.369965	-0.300709
1935	11	-0.99736	-0.357048	-0.541632
1935	12	-0.784539	-0.37083	-0.486588
1936	1	-0.999544	-0.429689	-0.587017
1936	2	-1.277121	-0.396827	-0.641896
1936	3	-0.775988	-0.433695	-0.528844
1936	4	-0.792034	-0.40017	-0.510216
1936	5	-0.408223	-0.4555	-0.442009
1936	6	-0.424988	-0.481291	-0.46563
1936	7	-0.044545	-0.474344	-0.351434
1936	8	-0.296989	-0.415278	-0.381792
1936	9	-0.332519	-0.368574	-0.358545
1936	10	-0.118711	-0.352602	-0.285942
1936	11	-0.089613	-0.368073	-0.290243
1936	12	-0.222758	-0.386088	-0.339906
1937	1	-0.913929	-0.334787	-0.498245
1937	2	-0.278218	-0.323527	-0.310878
1937	3	-1.02116	-0.349219	-0.535449
1937	4	-0.790831	-0.335747	-0.464511
1937	5	-0.304108	-0.367085	-0.34912
1937	6	-0.140343	-0.344909	-0.286598
1937	7	-0.291424	-0.307443	-0.302934
1937	8	-0.166003	-0.249094	-0.225612
1937	9	0.021097	-0.215294	-0.146386
1937	10	0.088895	-0.280044	-0.174212
1937	11	-0.054736	-0.257942	-0.200134
1937	12	-0.708083	-0.286832	-0.406267
1938	1	-0.241688	-0.319767	-0.298003
1938	2	-0.365824	-0.354029	-0.357327
1938	3	-0.21061	-0.36708	-0.324191
1938	4	0.069594	-0.393444	-0.25993
1938	5	-0.217986	-0.417223	-0.36056
1938	6	-0.454976	-0.419738	-0.429865
1938	7	-0.223029	-0.433427	-0.373891
1938	8	-0.207234	-0.407723	-0.351071
1938	9	0.021608	-0.400264	-0.27724
1938	10	0.121464	-0.32422	-0.195482
1938	11	0.143435	-0.41321	-0.256755
1938	12	-0.708832	-0.460263	-0.530465
1939	1	-0.24074	-0.50493	-0.430929
1939	2	-0.464069	-0.428207	-0.438279
1939	3	-0.880869	-0.400263	-0.533733
1939	4	-0.651891	-0.360484	-0.442885
1939	5	-0.234414	-0.392604	-0.347617
1939	6	-0.252169	-0.351345	-0.322917
1939	7	-0.22307	-0.348268	-0.31153
1939	8	-0.181794	-0.288061	-0.255693
1939	9	-0.342199	-0.258787	-0.284444
1939	10	-0.403088	-0.216362	-0.276483
1939	11	-0.169301	-0.201927	-0.191814
1939	12	0.795096	-0.120642	0.163305
1940	1	-0.885613	-0.058218	-0.310655
1940	2	-0.40067	-0.130098	-0.213519
1940	3	-0.471389	-0.167644	-0.262763
1940	4	-0.204082	-0.117018	-0.146025
1940	5	-0.417143	-0.099976	-0.195774
1940	6	-0.24656	-0.166896	-0.191617
1940	7	-0.118345	-0.150376	-0.140409
1940	8	-0.279758	-0.121066	-0.168974
1940	9	-0.035999	-0.117865	-0.092616
1940	10	-0.143587	-0.096179	-0.110625
1940	11	-0.252092	0.008413	-0.071476
1940	12	-0.018212	0.034078	0.017776
1941	1	-0.390233	0.099631	-0.052977
1941	2	-0.220809	0.100536	-0.000626
1941	3	-0.539091	-0.025365	-0.180611
1941	4	-0.259141	0.035083	-0.056806
1941	5	-0.224456	0.039155	-0.043876
1941	6	-0.137154	-0.03914	-0.068938
1941	7	-0.02154	-0.026289	-0.024858
1941	8	-0.101368	-0.042452	-0.060107
1941	9	-0.42751	-0.020922	-0.145659
1941	10	0.102928	0.177102	0.154338
1941	11	-0.38186	0.216658	0.040022
1941	12	-0.512889	0.130093	-0.076403
1942	1	-0.080579	-0.003655	-0.027749
1942	2	-0.796154	-0.048507	-0.277249
1942	3	-0.521406	-0.087073	-0.216101
1942	4	-0.456968	-0.053148	-0.177106
1942	5	-0.405575	-0.093556	-0.190058
1942	6	-0.190345	-0.153015	-0.16482
1942	7	-0.363395	-0.233854	-0.274261
1942	8	-0.344318	-0.282586	-0.301928
1942	9	-0.178195	-0.2801	-0.248088
1942	10	-0.058458	-0.278942	-0.20706
1942	11	0.019532	-0.284459	-0.192055
1942	12	-0.31067	-0.189101	-0.226555
1943	1	-0.800302	-0.150087	-0.353301
1943	2	-0.213172	-0.241534	-0.232624
1943	3	-0.65332	-0.265873	-0.385285
1943	4	-0.225662	-0.229948	-0.228528
1943	5	-0.208386	-0.242691	-0.231742
1943	6	-0.632032	-0.208811	-0.344824
1943	7	-0.26866	-0.165284	-0.198616
1943	8	-0.396705	-0.145637	-0.226267
1943	9	-0.246904	-0.155849	-0.184274
1943	10	0.204334	-0.107455	-0.006321
1943	11	-0.131848	-0.051657	-0.077436
1943	12	0.126154	-0.111797	-0.035666
1944	1	0.37637	-0.065231	0.074039
1944	2	-0.142603	-0.029947	-0.065462
1944	3	-0.181013	0.064739	-0.01161
1944	4	-0.446132	0.073564	-0.087929
1944	5	-0.304136	0.026391	-0.079614
1944	6	-0.214373	0.073061	-0.017311
1944	7	-0.120657	0.068108	0.006598
1944	8	-0.128354	0.022383	-0.026974
1944	9	0.156609	0.049153	0.083845
1944	10	0.159904	-0.00758	0.046175
1944	11	-0.340331	-0.049561	-0.143037
1944	12	-0.740409	0.05322	-0.20963
1945	1	-0.596324	0.054668	-0.151581
1945	2	-1.135019	0.108676	-0.286434
1945	3	-0.668137	-0.063093	-0.256994
1945	4	-0.219381	0.048779	-0.040992
1945	5	-0.492402	0.02098	-0.15158
1945	6	-0.387459	-0.076156	-0.179829
1945	7	-0.382893	-0.062436	-0.170304
1945	8	0.114935	0.031834	0.059384
1945	9	-0.10587	0.024986	-0.021523
1945	10	0.000307	0.00772	0.005197
1945	11	-0.258043	-0.003007	-0.09164
1945	12	-0.959239	-0.042694	-0.343977
1946	1	-0.090218	-0.063561	-0.072486
1946	2	-0.185269	-0.210262	-0.202445
1946	3	-0.625517	-0.197562	-0.331512
1946	4	-0.034425	-0.23096	-0.17041
1946	5	-0.395417	-0.330577	-0.35013
1946	6	-0.568783	-0.410888	-0.459745
1946	7	-0.286894	-0.414516	-0.376118
1946	8	-0.307045	-0.460457	-0.414723
1946	9	-0.293696	-0.308924	-0.304283
1946	10	-0.257819	-0.274889	-0.269764
1946	11	-0.175203	-0.370422	-0.31127
1946	12	-1.128653	-0.418721	-0.622076
1947	1	-0.72904	-0.377721	-0.48067
1947	2	-0.638107	-0.324339	-0.411634
1947	3	-0.176091	-0.39166	-0.327912
1947	4	-0.192615	-0.30792	-0.273425
1947	5	-0.378664	-0.325505	-0.341526
1947	6	-0.320573	-0.273043	-0.287393
1947	7	-0.343838	-0.329509	-0.333744
1947	8	-0.351317	-0.37773	-0.369943
1947	9	-0.217198	-0.475148	-0.396058
1947	10	0.25802	-0.424884	-0.216056
1947	11	-0.086631	-0.359588	-0.279009
1947	12	-0.578172	-0.422542	-0.46786
1948	1	0.197178	-0.434627	-0.251397
1948	2	-0.514385	-0.408192	-0.43852
1948	3	-0.860337	-0.413365	-0.543989
1948	4	-0.406001	-0.370535	-0.381033
1948	5	-0.171719	-0.299514	-0.261204
1948	6	-0.218078	-0.362156	-0.319395
1948	7	-0.229465	-0.413568	-0.35946
1948	8	-0.252234	-0.382979	-0.344535
1948	9	-0.2048	-0.464117	-0.386037
1948	10	-0.087157	-0.428481	-0.32715
1948	11	-0.185917	-0.412787	-0.344978
1948	12	-0.629778	-0.362611	-0.440344
1949	1	0.072702	-0.304015	-0.197647
1949	2	-0.892729	-0.312648	-0.481629
1949	3	-0.684471	-0.300014	-0.407901
1949	4	-0.419344	-0.323304	-0.350474
1949	5	-0.276576	-0.378966	-0.349219
1949	6	-0.537917	-0.467269	-0.487749
1949	7	-0.437653	-0.375028	-0.393344
1949	8	-0.282431	-0.404199	-0.3687
1949	9	-0.400625	-0.393309	-0.395436
1949	10	-0.177611	-0.397999	-0.333792
1949	11	-0.184224	-0.43132	-0.359743
1949	12	-0.790689	-0.40368	-0.513022
1950	1	-1.181979	-0.384887	-0.605914
1950	2	-0.955987	-0.420921	-0.572331
1950	3	-0.641143	-0.383286	-0.453816
1950	4	-0.774037	-0.405298	-0.512482
1950	5	-0.40929	-0.35503	-0.370475
1950	6	-0.456732	-0.323331	-0.362724
1950	7	-0.559402	-0.329825	-0.395234
1950	8	-0.661326	-0.329139	-0.424902
1950	9	-0.362009	-0.36624	-0.36503
1950	10	-0.47461	-0.417022	-0.433835
1950	11	-1.074756	-0.434238	-0.617604
1950	12	-0.595057	-0.449547	-0.488894
1951	1	-0.992748	-0.444477	-0.59746
1951	2	-1.475989	-0.447205	-0.730143
1951	3	-0.778043	-0.397675	-0.504261
1951	4	-0.568111	-0.355728	-0.416687
1951	5	-0.225556	-0.265045	-0.253372
1951	6	-0.452147	-0.200096	-0.273317
1951	7	-0.24358	-0.167023	-0.189426
1951	8	-0.187254	-0.173007	-0.177162
1951	9	0.065268	-0.18397	-0.112959
1951	10	-0.029027	-0.183768	-0.138859
1951	11	-0.265898	-0.244889	-0.250913
1951	12	0.147727	-0.214489	-0.11333
1952	1	-0.107977	-0.224018	-0.191825
1952	2	-0.429583	-0.161771	-0.234532
1952	3	-0.835907	-0.194171	-0.369196
1952	4	-0.405249	-0.186634	-0.248943
1952	5	-0.351726	-0.250846	-0.280211
1952	6	-0.329372	-0.247973	-0.27168
1952	7	-0.136707	-0.276791	-0.235534
1952	8	-0.233857	-0.231532	-0.232206
1952	9	-0.089991	-0.209857	NaN
1952	10	-0.440807	-0.18314	-0.25787
1952	11	-0.969703	-0.196281	-0.421961
1952	12	-0.561271	-0.212729	-0.311453
1953	1	-0.205261	-0.237656	-0.22867
1953	2	-0.104467	-0.183261	-0.161352
1953	3	-0.032629	-0.209943	-0.160562
1953	4	-0.093693	-0.0976	-0.096455
1953	5	-0.202338	-0.131478	-0.15194
1953	6	-0.151704	-0.135087	-0.140002
1953	7	-0.214205	-0.190569	-0.197543
1953	8	-0.138466	-0.210539	-0.189316
1953	9	-0.089029	-0.229309	-0.188277
1953	10	-0.013996	-0.210497	-0.153487
1953	11	-0.472876	-0.230786	-0.300252
1953	12	-0.170905	-0.268743	-0.241225
1954	1	-1.096443	-0.286564	-0.515314
1954	2	-0.690994	-0.278181	-0.395529
1954	3	NaN	-0.339448	-0.446077
1954	4	-0.732814	-0.348822	-0.459772
1954	5	-0.752765	-0.390299	-0.495767
1954	6	-0.404573	-0.42351	-0.417983
1954	7	-0.391004	-0.45052	-0.432991
1954	8	-0.2373	-0.453673	-0.392239
1954	9	-0.170551	-0.400007	-0.333244
1954	10	-0.105156	NaN	-0.315691
1954	11	0.168898	-0.390994	-0.230676
1954	12	-0.67171	-0.453418	-0.51418
1955	1	0.251594	-0.336877	-0.172876
1955	2	-0.541419	-0.401258	-0.44066
1955	3	-1.257148	-0.42147	-0.653981
1955	4	-0.902551	-0.422814	-0.562083
1955	5	-0.484835	-0.454016	-0.463044
1955	6	-0.330496	-0.472149	-0.430311
1955	7	-0.463203	-0.387005	-0.409743
1955	8	-0.148169	-0.395929	-0.323822
1955	9	-0.272817	-0.407738	-0.36862
1955	10	-0.125114	-0.502131	-0.392405
1955	11	-0.533483	-0.492618	-0.504351
1955	12	-0.880596	-0.47569	-0.588693
1956	1	-0.818084	-0.324459	-0.459271
1956	2	-1.108738	-0.379587	-0.579115
1956	3	-0.941209	-0.384824	-0.534238
1956	4	-0.964837	-0.463454	-0.609048
1956	5	-0.805609	-0.476106	-0.571535
1956	6	-0.558258	-0.424976	-0.463689
1956	7	-0.489183	-0.398905	-0.425212
1956	8	-0.677965	-0.386109	-0.472371
1956	9	-0.662697	-0.431175	-0.498693
1956	10	-0.596967	-0.402246	-0.457312
1956	11	-0.651735	-0.352709	-0.438107
1956	12	-0.836521	-0.304936	-0.451658
1957	1	-0.737632	-0.278601	-0.4046
1957	2	-0.849383	-0.240138	-0.407586
1957	3	-0.827744	-0.249132	-0.407714
1957	4	-0.724836	-0.153927	-0.317301
1957	5	-0.460379	-0.085089	-0.194271
1957	6	-0.217791	-0.125328	-0.152092
1957	7	-0.43824	-0.107975	-0.204486
1957	8	-0.228269	-0.105192	-0.141255
1957	9	-0.12275	-0.164595	-0.152452
1957	10	-0.260242	-0.23252	-0.240333
1957	11	-0.060348	-0.20991	-0.167368
1957	12	0.183686	-0.237049	-0.122084
1958	1	0.346715	-0.12292	0.003923
1958	2	-0.106151	-0.126367	-0.120776
1958	3	-0.403301	-0.126654	-0.202816
1958	4	-0.352347	-0.179381	-0.227967
1958	5	-0.213396	-0.24075	-0.23296
1958	6	-0.401823	-0.176074	-0.240965
1958	7	-0.202961	-0.215597	-0.211908
1958	8	-0.296527	-0.170542	-0.206753
1958	9	-0.390464	-0.171189	-0.235138
1958	10	-0.225997	-0.183648	-0.195954
1958	11	-0.086561	-0.256847	-0.208169
1958	12	-0.188485	-0.187029	-0.187435
1959	1	-0.190325	-0.154874	-0.164639
1959	2	-0.435267	-0.189833	-0.256897
1959	3	0.050162	-0.21815	-0.144781
1959	4	-0.192799	-0.22408	-0.214976
1959	5	-0.464183	-0.182991	-0.265748
1959	6	-0.148193	-0.235495	-0.209755
1959	7	-0.163392	-0.247338	-0.222739
1959	8	-0.232477	-0.21996	-0.223575
1959	9	-0.130095	-0.191293	-0.173687
1959	10	-0.388871	-0.219468	-0.267473
1959	11	-0.578119	-0.237453	-0.335705
1959	12	-0.454128	-0.267199	-0.318899
1960	1	-0.354292	-0.248158	-0.277321
1960	2	0.165955	-0.243637	-0.132462
1960	3	-1.26155	-0.262501	-0.534692
1960	4	-0.68025	-0.28804	-0.398277
1960	5	-0.814667	-0.194421	-0.372564
1960	6	-0.190093	-0.252132	-0.233841
1960	7	-0.363127	-0.201795	-0.248157
1960	8	-0.252239	-0.189174	-0.207593
1960	9	-0.176058	-0.174509	-0.174955
1960	10	-0.196039	-0.212396	-0.207654
1960	11	-0.487932	-0.25256	-0.318929
1960	12	0.212146	-0.169986	-0.064112
1961	1	-0.101916	-0.219169	-0.187353
1961	2	-0.087662	-0.162475	-0.142336
1961	3	-0.115466	-0.214558	-0.18765
1961	4	-0.273399	-0.152057	-0.186536
1961	5	-0.144945	-0.16159	-0.15677
1961	6	-0.176867	-0.165849	-0.169043
1961	7	-0.265003	-0.221503	-0.234059
1961	8	-0.273006	-0.235449	-0.246047
1961	9	-0.23221	-0.256682	-0.249639
1961	10	-0.439847	-0.228721	-0.289018
1961	11	-0.190765	-0.258578	-0.239952
1961	12	-0.609465	-0.245159	-0.345054
1962	1	-0.06523	-0.243904	-0.195515
1962	2	0.003499	-0.24145	-0.174505
1962	3	-0.189377	-0.194461	-0.193077
1962	4	-0.264963	-0.218036	-0.231312
1962	5	-0.385644	-0.21001	-0.260965
1962	6	-0.47877	-0.205427	-0.28457
1962	7	-0.290117	-0.138023	-0.182468
1962	8	-0.331478	-0.180079	-0.223848
1962	9	-0.244333	-0.168904	-0.1904
1962	10	-0.052085	-0.192722	-0.15239
1962	11	-0.057092	-0.239322	-0.188017
1962	12	-0.101738	-0.274311	-0.226142
1963	1	-0.251919	-0.265313	-0.2617
1963	2	0.415145	-0.251153	-0.070383
1963	3	-0.490766	-0.331204	-0.375678
1963	4	-0.623952	-0.189821	-0.310946
1963	5	-0.573857	-0.177046	-0.291454
1963	6	-0.437902	-0.207766	-0.274621
1963	7	-0.092725	-0.204305	-0.17134
1963	8	-0.073138	-0.136424	-0.118063
1963	9	0.068747	-0.182641	-0.110205
1963	10	0.392983	-0.220912	-0.043782
1963	11	0.221263	-0.183368	-0.068887
1963	12	-0.307242	-0.215564	-0.240627
1964	1	-0.296979	-0.30744	-0.304587
1964	2	-0.689115	-0.299753	-0.40601
1964	3	-0.818732	-0.395955	-0.512185
1964	4	-0.811349	-0.432125	-0.538259
1964	5	-0.484961	-0.386627	-0.414874
1964	6	-0.499681	-0.34699	-0.391043
1964	7	-0.421559	-0.362365	-0.379457
1964	8	-0.480995	-0.447107	-0.456857
1964	9	-0.545729	-0.446925	-0.474738
1964	10	-0.705668	-0.449539	-0.521835
1964	11	-0.397685	-0.521934	-0.487396
1964	12	-0.785108	-0.508491	-0.583627
1965	1	-0.303231	-0.417125	-0.385839
1965	2	-0.87231	-0.395394	-0.526489
1965	3	-0.608252	-0.383853	-0.445077
1965	4	-0.873982	-0.374707	-0.513791
1965	5	-0.485467	-0.368749	-0.402075
1965	6	-0.403829	-0.344491	-0.361616
1965	7	-0.430015	-0.351864	-0.374575
1965	8	-0.455978	-0.307668	-0.350146
1965	9	-0.411218	-0.276534	-0.314977
1965	10	-0.073998	-0.319058	-0.250446
1965	11	-0.49053	-0.284232	-0.34161
1965	12	-0.392091	-0.321758	-0.340981
1966	1	-0.567199	-0.298741	-0.371953
1966	2	-0.533388	-0.310139	-0.371543
1966	3	-0.404254	-0.315566	-0.339739
1966	4	-0.734177	-0.279254	-0.407914
1966	5	-0.411755	-0.346849	-0.364985
1966	6	-0.15208	-0.286156	-0.247347
1966	7	-0.099779	-0.247461	-0.204767
1966	8	-0.18865	-0.276837	-0.251204
1966	9	-0.160095	-0.305124	-0.264264
1966	10	-0.356071	-0.329818	-0.337175
1966	11	-0.405915	-0.267333	-0.306232
1966	12	-0.912417	-0.228755	-0.417581
1967	1	-0.620971	-0.335289	-0.412515
1967	2	-0.878762	-0.380931	-0.516451
1967	3	-0.432074	-0.2973	-0.334057
1967	4	-0.326595	-0.329849	-0.328948
1967	5	-0.046072	-0.226782	-0.176338
1967	6	-0.541605	-0.272545	-0.349403
1967	7	-0.376567	-0.274006	-0.303593
1967	8	-0.392566	-0.246498	-0.287732
1967	9	-0.343669	-0.300874	-0.31321
1967	10	0.308784	-0.292916	-0.121544
1967	11	-0.145278	-0.337004	-0.282637
1967	12	-0.324827	-0.371336	-0.358529
1968	1	-0.758612	-0.432155	-0.519582
1968	2	-0.553664	-0.419474	-0.456212
1968	3	0.348193	-0.410837	-0.203931
1968	4	-0.486661	-0.370937	-0.403197
1968	5	-0.599748	-0.343574	-0.415008
1968	6	-0.55934	-0.262895	-0.346382
1968	7	-0.422201	-0.275672	-0.317178
1968	8	-0.454995	-0.225501	-0.290995
1968	9	-0.459254	-0.21345	-0.283391
1968	10	-0.322182	-0.170636	-0.21363
1968	11	-0.438866	-0.204709	-0.26997
1968	12	-0.917321	-0.156483	-0.366083
1969	1	-1.460142	-0.031578	-0.412803
1969	2	-1.369411	-0.063211	-0.420523
1969	3	-0.570175	-0.109275	-0.237418
1969	4	-0.351702	-0.075017	-0.151541
1969	5	-0.339757	-0.058937	-0.137426
1969	6	-0.363777	-0.188946	-0.239068
1969	7	-0.148171	-0.216449	-0.197508
1969	8	-0.271687	-0.152901	-0.18666
1969	9	-0.315665	-0.150193	-0.196415
1969	10	-0.245756	-0.151579	-0.178286
1969	11	0.165519	-0.16315	-0.072403
1969	12	0.040975	-0.092154	-0.056047
1970	1	-0.332799	-0.121534	-0.178009
1970	2	0.074334	-0.169761	-0.103894
1970	3	-0.643774	-0.171129	-0.297716
1970	4	-0.241175	-0.190292	-0.204338
1970	5	-0.369552	-0.237605	-0.274405
1970	6	-0.188023	-0.305736	-0.272606
1970	7	-0.165843	-0.324005	-0.279076
1970	8	-0.289462	-0.271151	-0.276384
1970	9	-0.218286	-0.254832	-0.244416
1970	10	-0.419885	-0.232147	-0.284732
1970	11	-0.252866	-0.228424	-0.235169
1970	12	-0.663266	-0.313234	-0.407731
1971	1	-0.292357	-0.316648	-0.31003
1971	2	-0.861022	-0.403281	-0.52712
1971	3	-0.654149	-0.388671	-0.461101
1971	4	-0.6033	-0.37304	-0.435715
1971	5	-0.466922	-0.374006	-0.400526
1971	6	-0.499074	-0.418787	-0.441559
1971	7	-0.330676	-0.340268	-0.337579
1971	8	-0.314126	-0.350159	-0.339896
1971	9	-0.134412	-0.39307	-0.320346
1971	10	-0.239172	-0.386121	-0.345738
1971	11	0.138703	-0.403055	-0.252095
1971	12	-0.276224	-0.421202	-0.381841
1972	1	-1.303338	-0.294118	-0.563634
